Time,HitRatio,TPS,Active,WaitLock,Deadlock,WalBytes
10:14:14,99.85,6,1,0,0,7198357560
10:14:19,99.97,16,68,0,0,7243616483
10:14:24,99.99,28,68,3,0,7337285007
10:14:29,99.99,40,56,6,0,7430698082
10:14:34,99.99,52,52,1,0,7516609931
10:14:39,99.99,66,84,3,0,7600188292
10:14:45,100.00,78,91,4,0,7682102302
10:14:50,100.00,90,67,6,0,7762113802
10:14:55,100.00,100,72,3,0,7840903084
10:15:00,100.00,112,81,4,0,7917097766
10:15:05,100.00,124,34,1,0,7992003362
10:15:10,100.00,136,94,1,0,8064710347
