Linux 6.14.0-1018-aws (ip-10-0-1-227) 	01/03/26 	_aarch64_	(8 CPU)

15:15:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:16     all    0.88    0.00    0.75    1.50    0.00    0.00    0.00    0.00    0.00   96.88
15:15:16       0    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
15:15:16       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:15:16       2    4.04    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   92.93
15:15:16       3    1.98    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   96.04
15:15:16       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:15:16       5    0.99    0.00    0.99    2.97    0.00    0.00    0.00    0.00    0.00   95.05
15:15:16       6    0.00    0.00    2.02    4.04    0.00    0.00    0.00    0.00    0.00   93.94
15:15:16       7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

15:15:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:17     all    0.37    0.00    0.37    0.50    0.00    0.12    0.00    0.00    0.00   98.63
15:15:17       0    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:15:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:15:17       2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:15:17       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:15:17       4    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
15:15:17       5    1.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00
15:15:17       6    0.00    0.00    1.00    2.00    0.00    1.00    0.00    0.00    0.00   96.00
15:15:17       7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

15:15:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:18     all   45.67    0.00   37.40    3.18    0.00    0.25    0.00    0.00    0.00   13.49
15:15:18       0   45.36    0.00   37.11    3.09    0.00    0.00    0.00    0.00    0.00   14.43
15:15:18       1   46.39    0.00   36.08    2.06    0.00    0.00    0.00    0.00    0.00   15.46
15:15:18       2   46.94    0.00   36.73    5.10    0.00    1.02    0.00    0.00    0.00   10.20
15:15:18       3   44.90    0.00   38.78    3.06    0.00    0.00    0.00    0.00    0.00   13.27
15:15:18       4   47.47    0.00   38.38    3.03    0.00    0.00    0.00    0.00    0.00   11.11
15:15:18       5   46.94    0.00   35.71    3.06    0.00    0.00    0.00    0.00    0.00   14.29
15:15:18       6   42.86    0.00   39.80    3.06    0.00    0.00    0.00    0.00    0.00   14.29
15:15:18       7   44.55    0.00   36.63    2.97    0.00    0.99    0.00    0.00    0.00   14.85

15:15:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:19     all   48.80    0.00   36.19    4.04    0.00    1.01    0.00    0.00    0.00    9.96
15:15:19       0   51.00    0.00   34.00    3.00    0.00    1.00    0.00    0.00    0.00   11.00
15:15:19       1   45.45    0.00   36.36    4.04    0.00    1.01    0.00    0.00    0.00   13.13
15:15:19       2   51.02    0.00   34.69    5.10    0.00    1.02    0.00    0.00    0.00    8.16
15:15:19       3   50.51    0.00   34.34    4.04    0.00    1.01    0.00    0.00    0.00   10.10
15:15:19       4   49.49    0.00   36.36    4.04    0.00    1.01    0.00    0.00    0.00    9.09
15:15:19       5   47.96    0.00   37.76    4.08    0.00    1.02    0.00    0.00    0.00    9.18
15:15:19       6   47.52    0.00   38.61    3.96    0.00    0.99    0.00    0.00    0.00    8.91
15:15:19       7   47.47    0.00   37.37    4.04    0.00    1.01    0.00    0.00    0.00   10.10

15:15:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:20     all   50.32    0.00   35.94    3.98    0.00    0.64    0.00    0.00    0.00    9.11
15:15:20       0   51.04    0.00   35.42    4.17    0.00    1.04    0.00    0.00    0.00    8.33
15:15:20       1   48.98    0.00   36.73    4.08    0.00    1.02    0.00    0.00    0.00    9.18
15:15:20       2   50.00    0.00   35.71    4.08    0.00    1.02    0.00    0.00    0.00    9.18
15:15:20       3   52.08    0.00   35.42    4.17    0.00    0.00    0.00    0.00    0.00    8.33
15:15:20       4   51.52    0.00   35.35    4.04    0.00    0.00    0.00    0.00    0.00    9.09
15:15:20       5   48.98    0.00   36.73    4.08    0.00    1.02    0.00    0.00    0.00    9.18
15:15:20       6   48.98    0.00   36.73    4.08    0.00    0.00    0.00    0.00    0.00   10.20
15:15:20       7   51.04    0.00   35.42    3.12    0.00    1.04    0.00    0.00    0.00    9.38

15:15:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:21     all   49.81    0.00   36.38    3.80    0.00    0.89    0.00    0.00    0.00    9.13
15:15:21       0   50.00    0.00   35.71    4.08    0.00    1.02    0.00    0.00    0.00    9.18
15:15:21       1   49.48    0.00   36.08    3.09    0.00    1.03    0.00    0.00    0.00   10.31
15:15:21       2   52.53    0.00   34.34    3.03    0.00    1.01    0.00    0.00    0.00    9.09
15:15:21       3   51.00    0.00   36.00    4.00    0.00    1.00    0.00    0.00    0.00    8.00
15:15:21       4   48.98    0.00   37.76    3.06    0.00    1.02    0.00    0.00    0.00    9.18
15:15:21       5   49.49    0.00   36.36    5.05    0.00    0.00    0.00    0.00    0.00    9.09
15:15:21       6   47.47    0.00   38.38    4.04    0.00    1.01    0.00    0.00    0.00    9.09
15:15:21       7   49.49    0.00   36.36    4.04    0.00    1.01    0.00    0.00    0.00    9.09

15:15:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:15:22     all   50.31    0.00   36.86    3.77    0.00    0.63    0.00    0.00    0.00    8.43
15:15:22       0   51.52    0.00   36.36    4.04    0.00    0.00    0.00    0.00    0.00    8.08
15:15:22       1   54.00    0.00   34.00    4.00    0.00    0.00    0.00    0.00    0.00    8.00
15:15:22       2   48.00    0.00   38.00    4.00    0.00    1.00    0.00    0.00    0.00    9.00
15:15:22       3   54.00    0.00   34.00    4.00    0.00    0.00    0.00    0.00    0.00    8.00
15:15:22       4   47.00    0.00   39.00    4.00    0.00    1.00    0.00    0.00    0.00    9.00
15:15:22       5   50.00    0.00   38.00    3.00    0.00    1.00    0.00    0.00    0.00    8.00
15:15:22       6   50.51    0.00   36.36    3.03    0.00    1.01    0.00    0.00    0.00    9.09
