----system---- ----total-usage---- ------memory-usage----- -dsk/total- --io/total- nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme nvme
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ| read  writ|util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util:util
03-01 15:30:38|                   |4716M  763M   25M   14G|           |           |    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    :    
03-01 15:30:39|  0   0 100   0   0|4714M  765M   25M   14G|   0    56k|   0  12.0 |   0:   0:   0:   0:   0:   0:   0:   0:   0:0.10:   0:0.10:0.10:   0:   0:0.10:   0
03-01 15:30:40|  1   2  97   0   0|4868M  630M   25M   14G| 196k  571k|9.49  68.4 |1.30:0.10:0.20:   0:0.10:0.20:0.10:0.10:   0:0.30:0.10:   0:0.50:0.10:0.20:0.20:0.20
03-01 15:30:41| 50  39   6   3   0|4970M  374M   25M   14G| 128M   85M|14.3k 4802 |0.20:18.2:69.5:57.3:18.3:67.3:18.6:18.3:53.5:63.9:17.7:53.7:68.6:18.0:17.4:57.4:17.1
03-01 15:30:42| 50  37   7   4   0|5061M  285M   24M   14G| 128M   89M|14.4k 5282 |   0:16.8:68.0:56.0:16.6:67.7:19.2:19.6:57.3:65.2:18.2:51.7:68.3:18.0:17.7:55.6:17.9
03-01 15:30:43| 51  37   7   3   0|5140M  202M   24M   14G| 131M   97M|14.7k 6486 |0.40:18.6:70.5:59.7:18.4:69.6:18.7:18.4:58.8:67.3:18.6:54.4:70.7:18.7:18.5:61.0:18.6
03-01 15:30:44| 51  37   7   4   0|5214M  270M   24M   14G| 132M   89M|14.7k 5299 |0.20:18.6:65.5:56.5:18.5:67.9:16.6:17.2:56.7:63.8:19.2:54.5:66.8:19.5:17.0:56.4:17.0
03-01 15:30:45| 51  37   7   4   0|5270M  373M   24M   14G| 132M   95M|14.8k 6226 |0.20:18.6:70.3:57.5:18.6:69.6:18.0:17.9:58.0:65.3:17.9:52.4:67.1:17.7:18.7:59.2:18.7
03-01 15:30:46| 52  37   6   3   0|5336M  436M   24M   14G| 136M   90M|15.1k 5400 |   0:18.7:68.6:58.4:18.7:70.8:19.1:18.9:61.4:68.8:19.9:54.9:71.8:19.6:18.2:59.5:17.6
03-01 15:30:47| 52  38   6   4   0|5384M  518M   24M   14G| 136M  106M|15.1k 7535 |   0:18.9:72.5:60.9:18.8:70.8:17.9:17.9:59.4:66.9:18.8:55.7:72.5:19.1:18.4:61.1:18.6
03-01 15:30:48| 52  38   5   3   0|5420M  455M   24M   14G| 138M   94M|15.4k 6219 |0.30:18.9:73.6:61.6:18.9:72.4:19.1:18.9:61.8:72.8:18.4:56.2:73.8:18.5:18.5:62.4:18.6
03-01 15:30:49| 51  39   3   5   0|5471M  384M   24M   14G| 134M  270M|14.9k 28.3k|   0:20.4:85.9:76.4:20.3:87.8:19.8:19.6:78.0:87.2:20.0:77.5:85.8:19.6:19.8:78.1:20.2
03-01 15:30:50| 45  35   3  14   0|5519M  459M   24M   13G| 122M  171M|13.4k 16.8k|0.20:21.1:88.7:82.0:20.8:88.6:20.2:20.2:83.0:88.6:20.1:80.5:94.0:19.7:19.3:89.4:19.4
03-01 15:30:51| 35  31   2  27   0|5493M  495M   24M   13G|  99M  150M|11.0k 15.0k|   0:21.0:93.9:91.3:20.8:93.5:21.1:21.1:88.4:90.3:20.5:85.6:98.9:20.5:22.0:98.6:21.5
03-01 15:30:52| 37  30   2  26   0|5512M  337M   24M   14G| 104M  145M|11.6k 14.2k|0.10:21.3:96.8:94.9:21.7:91.3:21.5:21.2:86.0:89.2:22.3:82.6:94.6:21.9:20.6:92.1:21.1
03-01 15:30:53| 35  27   2  30   0|5529M  190M   24M   14G|  95M  150M|10.7k 14.9k|0.20:20.9:89.6:81.7:20.7:92.0:21.4:21.4:87.6:87.8:22.5:79.7: 100:22.6:20.8: 100:21.2
03-01 15:30:54| 36  30   4  25   0|5546M  325M   24M   14G| 102M  156M|11.3k 14.4k|0.10:21.7:86.4:79.2:21.3:93.9:23.2:23.3:90.8:89.2:20.3:79.9:93.2:20.3:20.7:89.6:20.4
03-01 15:30:55| 32  26   8  29   0|5553M  340M   24M   14G|  90M  155M|10.0k 15.8k|0.40:19.5:89.1:81.4:19.5:99.9:22.5:22.4:99.5:89.2:26.2:81.3:87.5:25.7:18.4:81.5:18.3
03-01 15:30:56| 31  26   8  31   0|5560M  418M   24M   13G|  87M  157M|9633  16.2k|0.20:20.2:87.9:80.5:20.2:89.1:22.8:22.6:84.7:90.2:23.0:83.1:98.0:23.4:22.1:96.8:22.1
03-01 15:30:57| 27  23  13  33   0|5570M  309M   24M   14G|  76M  163M|8511  17.2k|   0:23.0:86.8:79.9:22.8:90.8:21.4:21.3:81.0:87.8:20.5:80.1: 100:19.7:16.1:99.9:15.9
03-01 15:30:58| 27  22  13  35   0|5575M  346M   24M   14G|  75M  157M|8331  16.7k|0.30:20.0:86.9:81.1:20.0:86.7:19.1:19.1:79.3:86.9:17.1:80.8: 100:16.6:21.8: 100:21.4
03-01 15:30:59| 30  26  10  31   0|5580M  230M   24M   14G|  86M  164M|9535  17.0k|0.40:20.7:87.7:81.0:20.6:90.7:25.4:25.4:84.0:91.0:20.3:84.8: 100:20.2:19.6: 100:19.3
03-01 15:31:00| 28  24   7  35   0|5587M  258M   24M   14G|  79M  159M|8870  16.8k|0.30:22.9:89.6:80.4:22.7:94.5:23.5:22.8:93.1:90.3:20.5:83.9:98.7:20.0:19.4:96.6:20.2
03-01 15:31:01| 28  22  11  34   0|5592M  294M   24M   14G|  77M  160M|8651  16.9k|0.40:21.7:86.7:80.9:21.8:90.5:21.5:21.6:83.9:89.3:21.1:83.9: 100:21.8:20.3: 100:20.5
03-01 15:31:02| 23  19  20  34   0|5599M  200M   24M   14G|  65M  178M|7282  18.5k|   0:18.8:91.1:84.9:18.7:89.2:22.1:22.3:82.6:91.5:18.5:86.0:99.2:18.3:17.4:99.3:17.7
03-01 15:31:03| 33  27   8  29   0|5602M  221M   24M   14G|  89M  159M|9875  16.3k|0.10:20.5:89.6:84.0:20.7:90.3:23.2:22.8:83.1:89.4:20.8:83.1:99.9:20.7:19.9:99.9:19.9
03-01 15:31:04| 21  18  17  39   0|5613M  271M   24M   14G|  61M  170M|6862  19.0k|0.70:18.4:90.1:82.9:18.4:92.1:19.4:19.5:88.3:86.3:21.8:80.8:97.7:21.3:24.0:97.4:24.0
03-01 15:31:05| 28  23  14  30   0|5622M  296M   24M   14G|  81M  159M|8931  16.7k|0.20:20.1:89.4:83.0:20.1:88.7:18.5:17.9:82.4:90.4:21.5:84.4:99.4:21.7:22.3:99.3:22.2
03-01 15:31:06| 24  20  19  33   0|5605M  481M   24M   13G|  67M  168M|7483  18.2k|0.10:18.9:89.6:83.8:18.5:87.2:21.9:21.8:81.2:90.9:19.2:84.8:99.7:19.2:15.5:99.4:15.3
03-01 15:31:07| 24  19  16  36   0|5620M  375M   24M   13G|  68M  165M|7531  18.0k|0.30:15.7:91.2:86.0:16.1:87.0:21.1:21.2:82.6:89.0:20.2:82.9:99.9:20.6:21.2:99.6:21.0
03-01 15:31:08| 29  21  13  31   0|5622M  268M   24M   14G|  80M  157M|8929  16.6k|0.50:20.1:88.7:82.2:20.1:87.0:20.8:21.3:78.1:88.1:17.5:79.9: 100:17.7:24.0: 100:23.8
