Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 2121.00 212032.50  1201.00  36.15    1.69    99.97    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.59  40.50
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 2117.00 211904.50  1203.00  36.23    1.69   100.10    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.59  40.00
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 2188.00 220160.50  1253.00  36.41    1.74   100.62    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.81  40.30
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 8038.00 514432.00     0.00   0.00    4.84    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   38.89 100.00
nvme11n1         0.00      0.00     0.00   0.00    0.00     0.00 1299.00 125952.00   669.00  33.99    6.39    96.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    8.30  74.80
nvme12n1         0.00      0.00     0.00   0.00    0.00     0.00 1315.00 131200.00   734.00  35.82    2.98    99.77    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.92  36.30
nvme15n1         0.00      0.00     0.00   0.00    0.00     0.00 1315.00 131200.00   735.00  35.85    2.97    99.77    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.91  36.50
nvme2n1          0.00      0.00     0.00   0.00    0.00     0.00 1298.00 125952.00   670.00  34.04    6.62    97.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    8.59  75.30
nvme3n1          0.00      0.00     0.00   0.00    0.00     0.00 1298.00 125952.00   670.00  34.04    6.53    97.04    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    8.47  75.20
nvme5n1          0.00      0.00     0.00   0.00    0.00     0.00 1315.00 131136.00   734.00  35.82    2.97    99.72    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.91  35.70
nvme8n1          0.00      0.00     0.00   0.00    0.00     0.00 1317.00 131264.00   734.00  35.79    2.95    99.67    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.89  35.60
nvme9n1          0.00      0.00     0.00   0.00    0.00     0.00 1299.00 125952.00   669.00  33.99    6.42    96.96    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    8.34  74.90
Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
md0              0.00      0.00     0.00   0.00    0.00     0.00 7600.00 486400.00     0.00   0.00    5.12    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00   38.90 100.00
